
ORIGIN,Description,Sum(PASSENGERS)
"KKI","Akiachak, AK: Akiachak Airport",1401
"KLG","Kalskag, AK: Kalskag Airport",1634
"KLL","Levelock, AK: Levelock Airport",69
"KLN","Larsen Bay, AK: Larsen Bay Airport",1131
"KLW","Klawock, AK: Klawock Airport",6584
"KMO","Manokotak, AK: Manokatak Seaplane Base",289
"KMY","Moser Bay, AK: Moser Bay Airport",5
"KNB","Kanab, UT: Kanab Municipal",231
"KNK","Kokhanok, AK: Kokhanok Airport",453
"KNW","New Stuyahok, AK: New Stuyahok Airport",712
"KOA","Kona, HI: Kona International Airport at Keahole",1021983
"KOT","Kotlik, AK: Kotlik Airport",2215
"KOY","Olga Bay, AK: Olga Bay Seaplane Base",18
"KOZ","Ouzinkie, AK: Ouzinkie Airport",886
"KPB","Point Baker, AK: Point Baker Airport",11
"KPN","Kipnuk, AK: Kipnuk Airport",3104
"KPR","Port Williams, AK: Port Williams Airport",9
"KPV","Perryville, AK: Perryville Airport",148
"KPY","Port Bailey, AK: Port Bailey Airport",16
"KSM","St. Mary's, AK: St. Mary's Airport",6781
"KTB","Thorne Bay, AK: Thorne Bay Seaplane Base",1044
