AIRPORT_ID,Code,DISPLAY_AIRPORT_NAME,LATITUDE,LONGITUDE
10366,ARY,Ararat Airport,-37.31194444,142.9905556
10367,ARZ,N'zeto North,-7.2225,12.86861111
10367,ARZ,N'zeto Airport,-7.25944444,12.86277778
10368,ASA,Assab International,13.07,42.63833333
10369,ASB,Ashkhabad Airport,37.98166667,58.36083333
10369,ASB,Ashgabat Airport,37.98166667,58.36083333
10370,ASC,Ascension Airport,-15.91666667,-63.15
10371,ASD,Andros Town Airport,24.69777778,-77.79611111
10371,ASD,Fresh Creek,24.69805556,-77.79555556
10372,ASE,Aspen Pitkin County Sardy Field,39.22416667,-106.8688889
10373,ASG,Ashburton Airport,-43.905,171.7966667
10374,ASH,Nashua Airport,42.77888889,-71.50944444
10374,ASH,Boire Field,42.77888889,-71.50944444
10375,ASI,Ascension Aux Af,-7.97027778,-14.39361111
10376,ASJ,Amami,28.41694444,129.6975
10377,ASK,Yamoussoukro Airport,6.90555556,-5.36416667
10378,ASL,Harrison County,32.52166667,-94.30805556
10379,ASM,Yohannes IV,15.29111111,38.91027778
10379,ASM,Asmara International,15.29333333,38.90888889
10380,ASN,Talladega Municipal,33.56972222,-86.05083333
10381,ASO,Asosa Airport,10.04722222,34.53666667
10381,ASO,Asosa Hidase,10.02055556,34.58222222
10382,ASP,Alice Springs Airport,-23.80333333,133.8841667
10383,ASQ,Austin Airport,39.46888889,-117.1961111
10384,ASR,Kayseri Airport,38.70416667,35.50972222
10384,ASR,Erkilet,38.77027778,35.49555556
10385,AST,Astoria Regional,46.15972222,-123.88
10386,ASU,Silvio Pettirossi International,-25.23916667,-57.51916667
10387,ASW,Aswan International,23.965,32.82166667
10388,ASX,John F Kennedy Memorial,46.54861111,-90.91861111
10389,ASY,Ashley Municipal,46.02388889,-99.35277778
10390,ATA,Anta Huaraz,-9.34722222,-77.6
10391,ATB,Atbara Airport,17.70972222,34.05722222
10392,ATC,Arthur's Town Airport,24.62944444,-75.67388889
10393,ATE,Antlers Municipal,34.19277778,-95.64972222
10394,ATH,Eleftherios Venizelos International,37.93666667,23.94444444
10395,ATI,Artigas International,-30.4,-56.50833333
10396,ATK,Atqasuk Edward Burnell Sr. Memorial,70.4675,-157.4519444
10397,ATL,Atlanta Municipal,33.64083333,-84.42722222
